Date,Tests,ConfirmedCases,Deaths
2020-01-16,1,0,
2020-01-27,2,0,
2020-02-03,3,0,
2020-02-06,4,0,
2020-02-07,10,0,
2020-02-08,14,0,
2020-02-09,17,0,
2020-02-10,21,0,
2020-02-11,23,0,
2020-02-12,21,0,0
2020-02-13,26,0,
2020-02-14,29,0,
2020-02-15,30,0,
2020-02-17,37,0,
2020-02-18,40,0,
2020-02-19,43,0,0
2020-02-20,44,0,
2020-02-21,47,0,
2020-02-23,50,0,
2020-02-24,52,0,
2020-02-25,76,0,
2020-02-26,117,0,0
2020-02-27,159,0,0
2020-02-28,185,0,0
2020-02-29,201,0,0
2020-03-01,211,0,0
2020-03-02,230,0,0
2020-03-03,256,0,0
2020-03-04,283,0,0
2020-03-05,309,0,0
2020-03-06,328,0,0
2020-03-07,349,0,0
2020-03-08,379,0,0
2020-03-09,441,1,0
2020-03-10,598,5,0
2020-03-11,764,16,0
2020-03-12,902,20,0
2020-03-13,1034,31,0
2020-03-14,1156,41,0
2020-03-15,1263,43,0
2020-03-16,1417,51,0
2020-03-17,1546,60,0
2020-03-18,1743,73,1
2020-03-19,1935,87,2
2020-03-20,2185,104,1
2020-03-21,2396,127,3
2020-03-22,2596,145,4
2020-03-23,2976,187,9
2020-03-24,3331,228,11
2020-03-25,3732,286,15
2020-03-26,4191,363,17
2020-03-27,4589,436,20
2020-03-28,4926,514,28
2020-03-29,5225,575,32
2020-03-30,5654,660,36
2020-03-31,6126,773,41
2020-04-01,6624,877,45
2020-04-02,7066,982,55
2020-04-03,7515,1087,65
2020-04-04,7900,1176,74
2020-04-05,8179,1236,85
2020-04-06,8611,1342,91
2020-04-07,9105,1472,99
2020-04-08,9642,1574,103
2020-04-09,10242,1675,121
2020-04-10,10774,1772,132
2020-04-11,11104,1839,143
2020-04-12,11497,1919,159
2020-04-13,11892,2033,166
2020-04-14,12370,2132,178
2020-04-15,12997,2271,194
2020-04-16,13595,2410,205
2020-04-17,14250,2574,214
2020-04-18,14649,2660,224
2020-04-19,14921,2703,234
2020-04-20,15442,2815,246
2020-04-21,16097,2947,259
2020-04-22,16693,3047,278
2020-04-23,17207,3123,294
2020-04-24,17807,3208,305
2020-04-25,18219,3263,320
2020-04-26,18639,3307,334
2020-04-27,19394,3380,347
2020-04-28,20238,3452,353
2020-04-29,21178,3544,367
2020-04-30,22135,3633,375
2020-05-01,23250,3719,387
2020-05-02,24102,3779,399
2020-05-03,24635,3807,410
2020-05-04,25700,3864,419
2020-05-05,26786,3922,425
2020-05-06,27954,3964,428
2020-05-07,29003,4024,431
2020-05-08,29935,4071,437
2020-05-09,30739,4102,444
2020-05-10,31529,4149,454
2020-05-11,32649,4217,456
2020-05-12,33784,4273,460
2020-05-13,34963,4305,463
2020-05-14,35977,4338,473
2020-05-15,37184,4386,476
2020-05-16,37918,4410,480
2020-05-17,38530,4434,487
2020-05-18,39742,4469,494
2020-05-19,40891,4514,499
2020-05-20,42067,4541,504
2020-05-21,43184,4579,508
2020-05-22,44343,4598,509
2020-05-23,45156,4631,511
2020-05-24,45862,4643,518
2020-05-25,46798,4664,519
2020-05-26,47808,4677,520
2020-05-27,48891,4694,524
2020-05-28,49976,4711,527
2020-05-29,51048,4721,528
2020-05-30,52033,4728,529
2020-05-31,52709,4741,530
2020-06-01,53968,4752,531
2020-06-02,55375,4770,533
2020-06-03,55907,4773,535
2020-06-04,55909,4773,535
