Date,Area,NewCases
2020-02-28,Neath Port Talbot,1
2020-03-05,Cardiff,1
2020-03-08,Pembrokeshire,2
2020-03-09,Neath Port Talbot,1
2020-03-09,Newport,1
2020-03-10,Cardiff,1
2020-03-10,Carmarthenshire,2
2020-03-10,Neath Port Talbot,5
2020-03-10,Swansea,1
2020-03-11,Caerphilly,1
2020-03-11,Powys,2
2020-03-11,Swansea,1
2020-03-12,Blaenau Gwent,1
2020-03-12,Cardiff,1
2020-03-12,Monmouthshire,1
2020-03-12,Neath Port Talbot,2
2020-03-12,Wrexham,1
2020-03-13,Caerphilly,4
2020-03-13,Swansea,2
2020-03-13,Isle of Anglesey,1
2020-03-13,Cardiff,1
2020-03-13,Carmarthenshire,1
2020-03-13,Flintshire,1
2020-03-13,Monmouthshire,1
2020-03-13,Newport,1
2020-03-13,Powys,1
2020-03-14,Neath Port Talbot,2
2020-03-14,Swansea,10
2020-03-14,Caerphilly,2
2020-03-14,Monmouthshire,2
2020-03-14,Conwy,1
2020-03-14,Cardiff,1
2020-03-14,Bridgend,1
2020-03-14,Carmarthenshire,1
2020-03-14,Powys,2
